feature,historical_missing_pct,2026_missing_pct,historical_mean,2026_mean,historical_std,2026_std,historical_min,historical_max,2026_min,2026_max,standardized_mean_diff,status,is_critical
disp_30p,0.0,0.0,0.05140341449299326,0.046313799621928164,0.22082030566611796,0.21017485739820999,0.0,1.0,0.0,1.0,-0.023048672338859235,READY,False
disp_35p,0.0,0.0,0.01340374519449382,0.011237135055660576,0.11499661505426499,0.10541360840117522,0.0,1.0,0.0,1.0,-0.018840642725099842,READY,False
clear_10p,0.0,0.0,0.009869372907279567,0.00924175593362739,0.09885377774462793,0.09569382206239677,0.0,1.0,0.0,1.0,-0.006348942731086311,READY,False
tackles_10p,0.0,0.0,0.013166053490967715,0.007666456626759084,0.11398615179029323,0.08722660782057212,0.0,1.0,0.0,1.0,-0.04824793869983917,READY,False
coaches_votes__match_z,0.0,0.0,1.3086689077419842e-17,-4.0108876335964484e-18,0.9888175232321188,0.9891226502649172,-0.4724773930469802,5.291508981737572,-0.4501981307759058,5.291508981737572,-1.7290932158170036e-17,READY,True
coaches_votes__match_pct,0.0,0.0,0.5111250051672108,0.5108695652173914,0.17729426457374578,0.17461416761157111,0.3977272727272727,1.0,0.41304347826086957,1.0,-0.0014407682641827293,READY,True
coaches_votes__match_rank,0.0,0.0,22.982989541565043,23.5,7.985589408194446,8.032251710132272,1.0,28.5,1.0,28.0,0.06474293029697022,READY,True
coaches_votes__match_share,0.0,0.0,0.022250010334421894,0.021739130434782605,0.06555190980589039,0.06556346602783358,0.0,0.3333333333333333,0.0,0.3333333333333333,-0.00779351663669427,READY,True
supercoach_score__match_z,0.0,0.0,-3.7633123070258706e-19,-7.042372472942602e-18,0.9888175232321187,0.9891226502649172,-2.9972218070158934,4.531413335689049,-2.9115805632816274,4.562319101114385,-6.7414270941021775e-18,READY,False
supercoach_score__match_pct,0.0,0.0,0.5111250051672109,0.5108695652173914,0.2885025080488415,0.28852006918607936,0.021739130434782608,1.0,0.021739130434782608,1.0,-0.0008853994079536255,READY,False
supercoach_score__match_rank,0.0,0.0,22.982989541565043,23.5,12.985633227775882,13.271923182559652,1.0,46.0,1.0,46.0,0.03981403520076993,READY,False
supercoach_score__match_share,0.0,0.0,0.022250010334421894,0.021739130434782608,0.009122649873559477,0.008773186002856958,-0.003639672429481347,0.0694570821959357,-0.0012117540139351712,0.0675552862768858,-0.05600126133526051,READY,False
afl_fantasy_score__match_z,0.0,0.0,1.2574970391769372e-18,4.104164090191715e-18,0.9888175232321188,0.9891226502649172,-3.0523722486846108,4.215796594132662,-2.974219120846684,4.13090239538598,2.8788598342290306e-18,READY,False
afl_fantasy_score__match_pct,0.0,0.0,0.511125005167211,0.5108695652173914,0.28848966069718696,0.2885051444568699,0.021739130434782608,1.0,0.021739130434782608,1.0,-0.0008854388375735023,READY,False
afl_fantasy_score__match_rank,0.0,0.0,22.982989541565043,23.5,12.985056228592581,13.271236645016016,1.0,46.0,1.0,46.0,0.03981580436259644,READY,False
afl_fantasy_score__match_share,0.0,0.0,0.022250010334421894,0.021739130434782608,0.00890912412727523,0.008481744925687025,-0.0010901162790697674,0.06454953400069037,-0.0010305736860185502,0.06228610540725531,-0.057343448395250185,READY,False
