player_position,coaches_votes,P_brownlow_0,P_brownlow_1,P_brownlow_2,P_brownlow_3,E_brownlow,n
FPL,6,0.48484848484848486,0.2727272727272727,0.09090909090909091,0.15151515151515152,0.9090909090909091,33
FPL,7,0.28205128205128205,0.1794871794871795,0.3333333333333333,0.20512820512820512,1.4615384615384615,39
FPL,8,0.28125,0.15625,0.1875,0.375,1.65625,32
FPL,9,0.2222222222222222,0.16666666666666666,0.3611111111111111,0.25,1.6388888888888888,36
FPL,10,0.08695652173913043,0.13043478260869565,0.043478260869565216,0.7391304347826086,2.4347826086956523,46
FPR,0,0.9957916885849553,0.001841136244082062,0.0013150973172014729,0.0010520778537611783,0.007627564439768543,3802
FPR,1,0.926829268292683,0.036585365853658534,0.012195121951219513,0.024390243902439025,0.13414634146341464,82
FPR,2,0.8604651162790697,0.05813953488372093,0.03488372093023256,0.046511627906976744,0.26744186046511625,86
FPR,3,0.8088235294117647,0.11764705882352941,0.029411764705882353,0.04411764705882353,0.3088235294117647,68
FPR,4,0.6949152542372882,0.1864406779661017,0.1016949152542373,0.01694915254237288,0.4406779661016949,59
FPR,5,0.55,0.2,0.1,0.15,0.85,40
FPR,6,0.2631578947368421,0.18421052631578946,0.39473684210526316,0.15789473684210525,1.4473684210526316,38
FPR,7,0.24242424242424243,0.3939393939393939,0.18181818181818182,0.18181818181818182,1.303030303030303,33
FPR,8,0.2903225806451613,0.1935483870967742,0.3225806451612903,0.1935483870967742,1.4193548387096775,31
FPR,9,0.38095238095238093,0.09523809523809523,0.09523809523809523,0.42857142857142855,1.5714285714285714,21
FPR,10,0.06521739130434782,0.06521739130434782,0.1956521739130435,0.6739130434782609,2.4782608695652173,46
HBFL,0,0.9916979110873059,0.0048205677557579,0.0029459025174076057,0.0005356186395286556,0.012319228709159078,3734
HBFL,1,0.8928571428571429,0.05,0.05,0.007142857142857143,0.17142857142857143,140
HBFL,2,0.9043478260869565,0.05217391304347826,0.02608695652173913,0.017391304347826087,0.1565217391304348,115
HBFL,3,0.8987341772151899,0.06329113924050633,0.02531645569620253,0.012658227848101266,0.1518987341772152,79
HBFL,4,0.7678571428571429,0.08928571428571429,0.125,0.017857142857142856,0.39285714285714285,56
HBFL,5,0.6410256410256411,0.20512820512820512,0.1282051282051282,0.02564102564102564,0.5384615384615384,39
HBFL,6,0.6,0.08571428571428572,0.17142857142857143,0.14285714285714285,0.8571428571428571,35
HBFL,7,0.40540540540540543,0.1891891891891892,0.2702702702702703,0.13513513513513514,1.135135135135135,37
HBFL,8,0.5925925925925926,0.07407407407407407,0.25925925925925924,0.07407407407407407,0.8148148148148148,27
HBFL,9,0.36363636363636365,0.3181818181818182,0.13636363636363635,0.18181818181818182,1.1363636363636365,22
HBFL,10,0.14285714285714285,0.09523809523809523,0.09523809523809523,0.6666666666666666,2.2857142857142856,21
HBFR,0,0.9924078091106291,0.004609544468546637,0.002982646420824295,0.0,0.010574837310195227,3688
HBFR,1,0.9424460431654677,0.04316546762589928,0.014388489208633094,0.0,0.07194244604316546,139
HBFR,2,0.9150943396226415,0.0660377358490566,0.018867924528301886,0.0,0.10377358490566038,106
HBFR,3,0.872093023255814,0.03488372093023256,0.08139534883720931,0.011627906976744186,0.23255813953488372,86
HBFR,4,0.7307692307692307,0.11538461538461539,0.10256410256410256,0.05128205128205128,0.47435897435897434,78
HBFR,5,0.7358490566037735,0.07547169811320754,0.1320754716981132,0.05660377358490566,0.5094339622641509,53
HBFR,6,0.6428571428571429,0.16666666666666666,0.14285714285714285,0.047619047619047616,0.5952380952380952,42
HBFR,7,0.6666666666666666,0.15151515151515152,0.12121212121212122,0.06060606060606061,0.5757575757575758,33
HBFR,8,0.5625,0.125,0.15625,0.15625,0.90625,32
HBFR,9,0.3125,0.1875,0.25,0.25,1.4375,16
HBFR,10,0.12121212121212122,0.18181818181818182,0.30303030303030304,0.3939393939393939,1.9696969696969697,33
