window,validation_year,fit_season,min_train_year,max_train_year,feature,std_coefficient,intercept
single_season,,2020.0,2020,2020,goals__match_pct,0.027513014971761205,0.13636363636363635
single_season,,2020.0,2020,2020,score_involvements__match_pct,0.006014129331079132,0.13636363636363635
single_season,,2020.0,2020,2020,team_won,0.008059445000409178,0.13636363636363635
single_season,,2020.0,2020,2020,close_game,0.00040032548419615196,0.13636363636363635
single_season,,2020.0,2020,2020,blowout,-0.0003068291921218158,0.13636363636363635
single_season,,2021.0,2021,2021,coaches_votes,0.3655293474739542,0.13043478260869565
single_season,,2021.0,2021,2021,disposals__match_pct,0.008359651218836526,0.13043478260869565
single_season,,2021.0,2021,2021,contested_possessions__match_pct,-0.0035377478071313404,0.13043478260869565
single_season,,2021.0,2021,2021,clearances__match_pct,0.03885286082654594,0.13043478260869565
single_season,,2021.0,2021,2021,goals__match_pct,0.01635628868914412,0.13043478260869565
single_season,,2021.0,2021,2021,score_involvements__match_pct,0.0059580038130291535,0.13043478260869565
single_season,,2021.0,2021,2021,team_won,0.006109286269556959,0.13043478260869565
single_season,,2021.0,2021,2021,close_game,2.25452495744792e-05,0.13043478260869565
single_season,,2021.0,2021,2021,blowout,0.0001883840713689719,0.13043478260869565
single_season,,2022.0,2022,2022,coaches_votes,0.3608894366019085,0.13043478260869565
single_season,,2022.0,2022,2022,disposals__match_pct,0.026870908893461706,0.13043478260869565
single_season,,2022.0,2022,2022,contested_possessions__match_pct,-0.01614385309922452,0.13043478260869565
single_season,,2022.0,2022,2022,clearances__match_pct,0.03342223494320837,0.13043478260869565
single_season,,2022.0,2022,2022,goals__match_pct,0.02469506840483896,0.13043478260869565
single_season,,2022.0,2022,2022,score_involvements__match_pct,0.0023298685712794588,0.13043478260869565
single_season,,2022.0,2022,2022,team_won,0.002298252886140644,0.13043478260869565
single_season,,2022.0,2022,2022,close_game,-6.388824373414263e-05,0.13043478260869565
single_season,,2022.0,2022,2022,blowout,1.2691487509035105e-05,0.13043478260869565
single_season,,2023.0,2023,2023,coaches_votes,0.325500485328126,0.13043478260869565
single_season,,2023.0,2023,2023,disposals__match_pct,0.010284445684739416,0.13043478260869565
single_season,,2023.0,2023,2023,contested_possessions__match_pct,-0.0034299936049086792,0.13043478260869565
single_season,,2023.0,2023,2023,clearances__match_pct,0.03579165691556962,0.13043478260869565
single_season,,2023.0,2023,2023,goals__match_pct,0.023014328788925453,0.13043478260869565
single_season,,2023.0,2023,2023,score_involvements__match_pct,0.010111040932092917,0.13043478260869565
single_season,,2023.0,2023,2023,team_won,0.011256994528489115,0.13043478260869565
single_season,,2023.0,2023,2023,close_game,0.00037253388370926113,0.13043478260869565
single_season,,2023.0,2023,2023,blowout,5.0907236084027265e-05,0.13043478260869565
single_season,,2024.0,2024,2024,coaches_votes,0.3275583009912959,0.13043478260869568
single_season,,2024.0,2024,2024,disposals__match_pct,0.01823024779087166,0.13043478260869568
single_season,,2024.0,2024,2024,contested_possessions__match_pct,-0.010704055547146273,0.13043478260869568
single_season,,2024.0,2024,2024,clearances__match_pct,0.03960912474921324,0.13043478260869568
single_season,,2024.0,2024,2024,goals__match_pct,0.014934574814519961,0.13043478260869568
single_season,,2024.0,2024,2024,score_involvements__match_pct,0.01123019793921593,0.13043478260869568
single_season,,2024.0,2024,2024,team_won,0.008901599293913908,0.13043478260869568
single_season,,2024.0,2024,2024,close_game,0.00012813185644133506,0.13043478260869568
single_season,,2024.0,2024,2024,blowout,-0.00022916577255883904,0.13043478260869568
single_season,,2025.0,2025,2025,coaches_votes,0.33613689189765056,0.13043478260869568
single_season,,2025.0,2025,2025,disposals__match_pct,0.02076128625295985,0.13043478260869568
single_season,,2025.0,2025,2025,contested_possessions__match_pct,-0.002040202023861434,0.13043478260869568
single_season,,2025.0,2025,2025,clearances__match_pct,0.03755720610612412,0.13043478260869568
single_season,,2025.0,2025,2025,goals__match_pct,0.015257604849547883,0.13043478260869568
single_season,,2025.0,2025,2025,score_involvements__match_pct,-0.008434185953593782,0.13043478260869568
single_season,,2025.0,2025,2025,team_won,0.0181464833135775,0.13043478260869568
single_season,,2025.0,2025,2025,close_game,0.0001357971350744901,0.13043478260869568
single_season,,2025.0,2025,2025,blowout,-8.654714409105497e-09,0.13043478260869568
